Datetime,Open,High,Low,Close,Volume
2010-04-01 00:00:00,1.35253,1.35259,1.35241,1.35247,330999984.74121094
2010-04-01 00:01:00,1.35245,1.35249,1.35213,1.35231,377999992.37060547
2010-04-01 00:02:00,1.35216,1.35242,1.35209,1.35234,197000007.62939453
2010-04-01 00:03:00,1.35241,1.35277,1.35227,1.35277,347000007.62939453
2010-04-01 00:04:00,1.35272,1.35323,1.35258,1.35308,360000000.0
2010-04-01 00:05:00,1.35295,1.35352,1.35285,1.35349,237000007.62939453
2010-04-01 00:06:00,1.35333,1.35424,1.35323,1.35417,292000007.62939453
2010-04-01 00:07:00,1.35403,1.35416,1.35389,1.35391,305000000.0
2010-04-01 00:08:00,1.35363,1.35397,1.3535,1.35352,265000000.0
2010-04-01 00:09:00,1.35377,1.35396,1.35343,1.35371,730000000.0
2010-04-01 00:10:00,1.35362,1.35388,1.35344,1.35366,472000007.62939453
2010-04-01 00:11:00,1.35386,1.35387,1.35343,1.35359,153000001.90734863
2010-04-01 00:12:00,1.35374,1.35441,1.35374,1.35437,212000007.62939453
2010-04-01 00:13:00,1.35435,1.35454,1.35381,1.35423,520000000.0
2010-04-01 00:14:00,1.35406,1.35431,1.35379,1.35391,318999996.18530273
2010-04-01 00:15:00,1.35398,1.35414,1.35346,1.35385,532000007.62939453
2010-04-01 00:16:00,1.3539,1.35429,1.35364,1.35429,625999984.7412109
2010-04-01 00:17:00,1.3543,1.35431,1.35384,1.35389,162000007.62939453
2010-04-01 00:18:00,1.35406,1.35408,1.35368,1.35383,236000003.81469727
2010-04-01 00:19:00,1.3539,1.3539,1.35351,1.35372,342000007.62939453
2010-04-01 00:20:00,1.35372,1.35443,1.35364,1.35436,354000015.25878906
2010-04-01 00:21:00,1.35425,1.35458,1.35415,1.35458,198999996.18530273
2010-04-01 00:22:00,1.35483,1.35518,1.35457,1.35507,278999996.18530273
2010-04-01 00:23:00,1.35511,1.35521,1.35467,1.35491,125000000.0
2010-04-01 00:24:00,1.35499,1.35541,1.35486,1.35536,192000007.62939453
2010-04-01 00:25:00,1.35507,1.356,1.35502,1.35562,507999992.37060547
2010-04-01 00:26:00,1.35538,1.35572,1.35532,1.35566,277000007.62939453
2010-04-01 00:27:00,1.35562,1.35578,1.3555,1.35555,158999996.18530273
2010-04-01 00:28:00,1.35557,1.35571,1.35538,1.35544,220000000.0
2010-04-01 00:29:00,1.35536,1.35554,1.35489,1.35511,332000007.62939453
2010-04-01 00:30:00,1.35497,1.35516,1.35484,1.35503,390999984.74121094
2010-04-01 00:31:00,1.35512,1.35518,1.35473,1.35492,452999992.37060547
2010-04-01 00:32:00,1.35495,1.3551,1.35467,1.35473,257000007.62939453
2010-04-01 00:33:00,1.3548,1.35493,1.35445,1.35472,362000007.62939453
2010-04-01 00:34:00,1.35483,1.35489,1.35415,1.35436,592999992.3706055
2010-04-01 00:35:00,1.35428,1.35455,1.35424,1.35443,492000007.62939453
2010-04-01 00:36:00,1.35437,1.35465,1.35429,1.35465,1090000000.0
2010-04-01 00:37:00,1.35475,1.35486,1.35451,1.35459,167999992.37060547
2010-04-01 00:38:00,1.35481,1.35524,1.35477,1.35495,246000003.81469727
2010-04-01 00:39:00,1.35489,1.35502,1.35454,1.35454,177000007.62939453
2010-04-01 00:40:00,1.35452,1.35475,1.35451,1.35472,332000007.62939453
