,Open,High,Low,Close,Volume
2012-05-24 03:38:00,1.25748,1.25776,1.25745,1.25769,1243700027.4658203
2012-05-24 03:39:00,1.25769,1.25775,1.25761,1.25766,1320599975.5859375
2012-05-24 03:40:00,1.25766,1.25769,1.25758,1.25769,1165899963.3789062
2012-05-24 03:41:00,1.25767,1.25778,1.2576,1.25776,820000000.0
2012-05-24 03:42:00,1.25775,1.2579,1.25775,1.2579,678199996.9482422
2012-05-24 03:43:00,1.2579,1.25829,1.2579,1.25809,1750399932.861328
2012-05-24 03:44:00,1.25811,1.25816,1.25796,1.25804,1433800048.828125
2012-05-24 03:45:00,1.25804,1.25819,1.25804,1.25816,1415700073.2421875
2012-05-24 03:46:00,1.25815,1.25816,1.25803,1.25816,1012399978.6376952
2012-05-24 03:47:00,1.25816,1.25837,1.25814,1.25827,882500000.0
2012-05-24 03:48:00,1.25826,1.25854,1.25822,1.25833,2098399963.3789065
2012-05-24 03:49:00,1.25832,1.2584,1.25818,1.25819,1424700012.2070312
2012-05-24 03:50:00,1.25818,1.2582,1.25805,1.25807,1319299926.7578125
2012-05-24 03:51:00,1.25808,1.25824,1.25807,1.25824,995400009.1552734
2012-05-24 03:52:00,1.25822,1.25822,1.25816,1.25817,744599990.8447266
2012-05-24 03:53:00,1.25816,1.25817,1.258,1.25808,639599990.8447266
2012-05-24 03:54:00,1.25808,1.25809,1.25798,1.25808,721500015.2587891
2012-05-24 03:55:00,1.25809,1.25817,1.25806,1.25811,678399963.3789062
2012-05-24 03:56:00,1.25811,1.25824,1.2581,1.25822,345499992.37060547
2012-05-24 03:57:00,1.25821,1.25821,1.25806,1.25807,543499984.7412109
2012-05-24 03:58:00,1.25807,1.2582,1.25798,1.2581,1615000000.0
2012-05-24 03:59:00,1.2581,1.25821,1.25808,1.25812,664800033.5693359
2012-05-24 04:00:00,1.25812,1.25812,1.25778,1.25796,1099800033.569336
2012-05-24 04:01:00,1.25797,1.25812,1.25793,1.25812,697500000.0
2012-05-24 04:02:00,1.25811,1.25811,1.25787,1.25787,878799972.5341797
2012-05-24 04:03:00,1.25787,1.25795,1.25787,1.25792,465000000.0
2012-05-24 04:04:00,1.25791,1.258,1.25783,1.25783,1564900054.9316406
2012-05-24 04:05:00,1.25782,1.25788,1.25781,1.25785,569599990.8447266
2012-05-24 04:06:00,1.25785,1.25785,1.25777,1.25777,515200004.5776367
2012-05-24 04:07:00,1.25777,1.25778,1.25771,1.25776,517799987.7929688
2012-05-24 04:08:00,1.25775,1.25798,1.25773,1.25795,789400024.4140625
2012-05-24 04:09:00,1.25795,1.25797,1.25788,1.25788,549300003.0517578
2012-05-24 04:10:00,1.25788,1.25788,1.25778,1.25781,430600013.73291016
2012-05-24 04:11:00,1.25781,1.25781,1.25772,1.25775,1187900009.1552734
2012-05-24 04:12:00,1.25776,1.25779,1.25764,1.2577,1027099990.8447266
2012-05-24 04:13:00,1.2577,1.2577,1.2575,1.25753,804300003.0517578
2012-05-24 04:14:00,1.25753,1.2576,1.25753,1.25759,314400005.3405762
2012-05-24 04:15:00,1.25763,1.25765,1.25755,1.25758,1011800003.0517578
2012-05-24 04:16:00,1.25758,1.25765,1.25755,1.2576,544099998.4741211
2012-05-24 04:17:00,1.25761,1.25763,1.25757,1.25763,393600006.1035156
2012-05-24 04:18:00,1.25762,1.25773,1.25757,1.25772,1198899993.8964844
2012-05-24 04:19:00,1.25771,1.25773,1.25761,1.25761,506300010.68115234
2012-05-24 04:20:00,1.25762,1.25771,1.25762,1.25765,601300010.6811523
2012-05-24 04:21:00,1.25763,1.25766,1.25757,1.25757,582400016.784668
2012-05-24 04:22:00,1.25758,1.2576,1.25745,1.25751,1285299987.7929688
2012-05-24 04:23:00,1.25751,1.25754,1.25746,1.25748,1247699966.430664
2012-05-24 04:24:00,1.25749,1.25754,1.25747,1.2575,986399993.8964844
2012-05-24 04:25:00,1.2575,1.25756,1.25747,1.25747,839100036.6210938
2012-05-24 04:26:00,1.25749,1.25752,1.25747,1.2575,650299987.7929688
2012-05-24 04:27:00,1.2575,1.2575,1.2573,1.25741,1188799972.5341797
2012-05-24 04:28:00,1.2574,1.25746,1.25733,1.25738,1614700012.2070312
