Datetime,Open,High,Low,Close,Volume
2022-07-06 00:00:00,1.02564,1.02578,1.02537,1.02545,2010200042.7246094
2022-07-06 00:01:00,1.02546,1.02563,1.02537,1.02546,1244499969.4824219
2022-07-06 00:02:00,1.02546,1.02563,1.02546,1.02555,900699996.9482422
2022-07-06 00:03:00,1.02556,1.02581,1.02556,1.02574,1776900024.4140625
2022-07-06 00:04:00,1.02574,1.0258,1.02566,1.02579,2454499969.482422
2022-07-06 00:05:00,1.02579,1.02608,1.02579,1.02591,3071000061.0351562
2022-07-06 00:06:00,1.02591,1.02607,1.0259,1.02606,1553600006.1035156
2022-07-06 00:07:00,1.02608,1.02637,1.02608,1.02637,796800003.0517578
2022-07-06 00:08:00,1.02637,1.02651,1.02622,1.02644,1922100067.1386719
2022-07-06 00:09:00,1.02645,1.02652,1.0263,1.02646,2282200012.2070312
2022-07-06 00:10:00,1.02647,1.02647,1.02621,1.02637,1749400024.4140625
2022-07-06 00:11:00,1.02637,1.02645,1.02636,1.02644,1098300018.3105469
2022-07-06 00:12:00,1.02644,1.0266,1.02641,1.02645,2504700012.2070312
2022-07-06 00:13:00,1.02646,1.02651,1.02638,1.02638,1227300033.569336
2022-07-06 00:14:00,1.02638,1.02651,1.02638,1.02649,1698000030.5175781
2022-07-06 00:15:00,1.02651,1.02654,1.02644,1.02646,1258799972.5341797
2022-07-06 00:16:00,1.02646,1.0265,1.0264,1.02645,1829900054.9316406
2022-07-06 00:17:00,1.02648,1.02652,1.02638,1.02646,2791400146.484375
2022-07-06 00:18:00,1.02645,1.02652,1.02643,1.02646,1248199996.9482422
2022-07-06 00:19:00,1.02646,1.02652,1.02645,1.02652,1332299957.2753906
2022-07-06 00:20:00,1.02653,1.02654,1.02638,1.02639,985999984.7412109
2022-07-06 00:21:00,1.0264,1.02645,1.0264,1.02643,576300010.6811523
2022-07-06 00:22:00,1.02643,1.02643,1.02628,1.02628,888000030.5175781
2022-07-06 00:23:00,1.02624,1.02624,1.02594,1.02599,637400016.784668
2022-07-06 00:24:00,1.02599,1.026,1.02583,1.02593,1333200073.2421875
2022-07-06 00:25:00,1.02593,1.02593,1.02586,1.02589,831699981.6894531
2022-07-06 00:26:00,1.0259,1.02604,1.02584,1.02603,1388000030.5175781
2022-07-06 00:27:00,1.02604,1.02604,1.02592,1.026,409399986.26708984
2022-07-06 00:28:00,1.026,1.02601,1.02583,1.02583,698199996.9482422
2022-07-06 00:29:00,1.02583,1.02589,1.02569,1.02587,2393600006.1035156
2022-07-06 00:30:00,1.02588,1.02601,1.02586,1.02598,3327000122.0703125
2022-07-06 00:31:00,1.02599,1.02605,1.02592,1.02594,1170899963.3789062
2022-07-06 00:32:00,1.02591,1.02594,1.02585,1.02589,1964900054.9316406
2022-07-06 00:33:00,1.0259,1.02604,1.02589,1.02598,1254899978.6376953
2022-07-06 00:34:00,1.02599,1.02603,1.02596,1.02599,1515700073.2421875
2022-07-06 00:35:00,1.02598,1.02614,1.02596,1.02614,2940499877.9296875
2022-07-06 00:36:00,1.02612,1.02616,1.02604,1.02614,2073999938.9648438
2022-07-06 00:37:00,1.02619,1.02632,1.02619,1.02624,2846900024.4140625
2022-07-06 00:38:00,1.02625,1.02625,1.02609,1.0261,2370099945.0683594
2022-07-06 00:39:00,1.02611,1.02616,1.02601,1.02605,3484100036.6210938
2022-07-06 00:40:00,1.02605,1.02616,1.02603,1.02615,1950500030.5175781
2022-07-06 00:41:00,1.02612,1.02612,1.026,1.02609,2802200012.2070312
2022-07-06 00:42:00,1.02609,1.02609,1.02602,1.02604,894400024.4140625
2022-07-06 00:43:00,1.02603,1.02605,1.02592,1.02604,4855899963.378906
2022-07-06 00:44:00,1.02604,1.02642,1.02604,1.02642,4758800048.828125
2022-07-06 00:45:00,1.02642,1.02666,1.02642,1.02655,5634500122.0703125
2022-07-06 00:46:00,1.02655,1.02668,1.02645,1.02659,5408400268.5546875
2022-07-06 00:47:00,1.0266,1.0267,1.02652,1.02652,2286799926.7578125
2022-07-06 00:48:00,1.02652,1.02668,1.02642,1.02663,3867399902.34375
2022-07-06 00:49:00,1.02661,1.02662,1.02653,1.02654,3149800109.8632812
2022-07-06 00:50:00,1.02655,1.02664,1.0265,1.02663,3876099853.515625
2022-07-06 00:51:00,1.02663,1.02669,1.02658,1.02662,3387799987.7929688
2022-07-06 00:52:00,1.02661,1.02671,1.0266,1.02664,1604100036.6210938
2022-07-06 00:53:00,1.02665,1.02665,1.02647,1.02648,1360800018.3105469
2022-07-06 00:54:00,1.02648,1.02655,1.02622,1.02631,5374299926.7578125
2022-07-06 00:55:00,1.02633,1.02662,1.0262,1.0266,4280899963.3789062
2022-07-06 00:56:00,1.02659,1.02659,1.02639,1.0265,4014599914.5507812
2022-07-06 00:57:00,1.02648,1.02655,1.02648,1.02654,2694899902.34375
2022-07-06 00:58:00,1.02655,1.02664,1.02654,1.02655,2555399932.861328
2022-07-06 00:59:00,1.02656,1.0266,1.02648,1.0266,2618500061.0351562
2022-07-06 01:00:00,1.02663,1.0267,1.02654,1.02654,1956600036.6210938
2022-07-06 01:01:00,1.02654,1.02656,1.02644,1.02649,2427799987.7929688
2022-07-06 01:02:00,1.02649,1.02655,1.02645,1.02649,1543600006.1035156
