,Open,High,Low,Close,Volume
2011-11-30 00:35:00,1.33268,1.33292,1.33268,1.33291,1139499969.482422
2011-11-30 00:36:00,1.33292,1.33294,1.3326,1.33262,787699966.4306641
2011-11-30 00:37:00,1.3326,1.3326,1.33231,1.33231,933300018.3105468
2011-11-30 00:38:00,1.33231,1.33238,1.33226,1.33235,914000015.2587892
2011-11-30 00:39:00,1.33236,1.33257,1.33234,1.33244,1870800018.3105469
2011-11-30 00:40:00,1.33244,1.33252,1.3323,1.33231,1233799972.5341797
2011-11-30 00:41:00,1.33233,1.33233,1.33219,1.33219,275599994.6594238
2011-11-30 00:42:00,1.33226,1.33268,1.33212,1.33261,1403200073.2421875
2011-11-30 00:43:00,1.33261,1.33282,1.33245,1.33263,1610899963.3789062
2011-11-30 00:44:00,1.33263,1.3328,1.33263,1.33271,506100006.1035156
2011-11-30 00:45:00,1.33271,1.33271,1.33244,1.33262,1057600021.3623048
2011-11-30 00:46:00,1.33262,1.33288,1.33262,1.33282,1087699966.430664
2011-11-30 00:47:00,1.33282,1.33286,1.33271,1.33282,1420200042.7246094
2011-11-30 00:48:00,1.33282,1.33287,1.33274,1.3328,1115999984.741211
2011-11-30 00:49:00,1.33282,1.33295,1.33282,1.33295,800400009.1552734
2011-11-30 00:50:00,1.33295,1.33315,1.33292,1.33301,1675399932.861328
2011-11-30 00:51:00,1.33296,1.33343,1.33294,1.33322,1411999969.482422
2011-11-30 00:52:00,1.33322,1.33342,1.33322,1.33336,1791999969.482422
2011-11-30 00:53:00,1.33336,1.33336,1.33308,1.33314,1230299987.7929688
2011-11-30 00:54:00,1.33316,1.33322,1.33284,1.33298,1961100006.103516
2011-11-30 00:55:00,1.33304,1.3333,1.33303,1.33325,1291000061.0351562
2011-11-30 00:56:00,1.33325,1.33332,1.33319,1.33322,1363800048.828125
2011-11-30 00:57:00,1.33324,1.33325,1.33293,1.33293,1634900054.9316406
2011-11-30 00:58:00,1.33293,1.33314,1.33293,1.3331,1317599945.0683594
2011-11-30 00:59:00,1.33311,1.33314,1.33293,1.3331,1114899978.6376953
2011-11-30 01:00:00,1.33312,1.33329,1.33301,1.33301,1037099990.8447266
