Datetime,Open,High,Low,Close,Volume
2014-09-01 00:00:00,1.31267,1.31277,1.31266,1.31277,1564799957.2753906
2014-09-01 00:01:00,1.31276,1.31293,1.31276,1.31291,966800003.0517578
2014-09-01 00:02:00,1.31291,1.31292,1.31288,1.31288,826100006.1035156
2014-09-01 00:03:00,1.3129,1.31312,1.3129,1.31308,1417100067.1386719
2014-09-01 00:04:00,1.31308,1.3132,1.31307,1.31316,1093300018.3105469
2014-09-01 00:05:00,1.31317,1.31321,1.31315,1.31321,1175100021.3623047
2014-09-01 00:06:00,1.31321,1.31322,1.31316,1.31316,696600036.6210938
2014-09-01 00:07:00,1.31317,1.31318,1.31315,1.31317,281299991.607666
2014-09-01 00:08:00,1.31319,1.31319,1.31302,1.31302,1176600036.6210938
2014-09-01 00:09:00,1.31302,1.31303,1.31296,1.31296,334099998.4741211
2014-09-01 00:10:00,1.31296,1.31296,1.31289,1.31289,1272699966.430664
2014-09-01 00:11:00,1.3129,1.31291,1.3129,1.31291,138800001.14440918
2014-09-01 00:12:00,1.31291,1.31291,1.31282,1.31284,1223799972.5341797
2014-09-01 00:13:00,1.31284,1.31284,1.31275,1.31275,1316799926.7578125
2014-09-01 00:14:00,1.31275,1.31283,1.31274,1.31283,407700004.5776367
2014-09-01 00:15:00,1.31283,1.31292,1.31283,1.31292,850800018.3105469
2014-09-01 00:16:00,1.31292,1.31293,1.31286,1.31292,585299987.7929688
2014-09-01 00:17:00,1.31292,1.31301,1.31291,1.31301,698000030.5175781
2014-09-01 00:18:00,1.313,1.313,1.31296,1.31296,363899993.8964844
2014-09-01 00:19:00,1.31296,1.31296,1.31295,1.31296,154399995.803833
2014-09-01 00:20:00,1.31296,1.31297,1.31295,1.31295,579099998.4741211
2014-09-01 00:21:00,1.31296,1.31296,1.31291,1.31291,387200012.20703125
2014-09-01 00:22:00,1.31291,1.31291,1.31284,1.3129,1066699981.6894531
2014-09-01 00:23:00,1.3129,1.31292,1.31278,1.31278,1003099975.5859375
2014-09-01 00:24:00,1.31277,1.31279,1.31271,1.31272,687399978.6376953
2014-09-01 00:25:00,1.31272,1.31277,1.31272,1.31272,607400016.784668
2014-09-01 00:26:00,1.31272,1.31272,1.31269,1.3127,1275999984.741211
2014-09-01 00:27:00,1.3127,1.31274,1.3127,1.31273,1113899993.8964844
2014-09-01 00:28:00,1.31274,1.31274,1.3127,1.3127,659499969.4824219
2014-09-01 00:29:00,1.3127,1.31273,1.3126,1.3127,941600036.6210938
2014-09-01 00:30:00,1.31271,1.31272,1.31267,1.31271,384199981.6894531
2014-09-01 00:31:00,1.31272,1.31274,1.31267,1.31274,963799972.5341797
2014-09-01 00:32:00,1.31273,1.31274,1.31267,1.31271,350000000.0
2014-09-01 00:33:00,1.31271,1.31271,1.31267,1.31268,365000000.0
2014-09-01 00:34:00,1.31268,1.31269,1.31267,1.31267,157500000.0
2014-09-01 00:35:00,1.31267,1.31272,1.31267,1.31271,395600013.73291016
2014-09-01 00:36:00,1.31271,1.31271,1.31266,1.31266,362500000.0
2014-09-01 00:37:00,1.31267,1.3127,1.31266,1.31268,377400016.78466797
2014-09-01 00:38:00,1.31269,1.31275,1.31269,1.31274,1243300018.3105469
2014-09-01 00:39:00,1.31274,1.31275,1.31273,1.31273,2050599975.5859375
2014-09-01 00:40:00,1.31274,1.31274,1.31265,1.31271,1044800033.5693359
2014-09-01 00:41:00,1.31271,1.31272,1.3127,1.3127,1211299972.5341797
2014-09-01 00:42:00,1.3127,1.31272,1.3127,1.31271,1180400009.1552734
2014-09-01 00:43:00,1.3127,1.3127,1.31266,1.31268,428300018.3105469
2014-09-01 00:44:00,1.31268,1.31268,1.31266,1.31266,105000000.0
2014-09-01 00:45:00,1.31266,1.31266,1.31255,1.31255,1551999969.4824219
2014-09-01 00:46:00,1.31255,1.31257,1.31253,1.31253,205400009.15527344
2014-09-01 00:47:00,1.31254,1.31257,1.31253,1.31255,759800033.5693359
2014-09-01 00:48:00,1.31256,1.31256,1.31252,1.31253,222500000.0
2014-09-01 00:49:00,1.31253,1.31254,1.31251,1.31254,608499984.7412109
2014-09-01 00:50:00,1.31253,1.31256,1.31252,1.31252,934499969.4824219
2014-09-01 00:51:00,1.31253,1.31253,1.31253,1.31253,75000000.0
2014-09-01 00:52:00,1.31253,1.31256,1.31253,1.31256,77500000.0
2014-09-01 00:53:00,1.31257,1.31257,1.31256,1.31256,230100002.28881836
2014-09-01 00:54:00,1.31257,1.31257,1.31251,1.31251,744700012.2070312
2014-09-01 00:55:00,1.31252,1.31259,1.31247,1.31258,1286600036.6210938
2014-09-01 00:56:00,1.31259,1.31268,1.31259,1.31268,638300018.3105469
2014-09-01 00:57:00,1.31269,1.31276,1.31269,1.31276,660800018.3105469
2014-09-01 00:58:00,1.31276,1.31276,1.31275,1.31275,576500015.2587891
2014-09-01 00:59:00,1.31275,1.31275,1.31274,1.31275,272000007.62939453
2014-09-01 01:00:00,1.31275,1.31294,1.31275,1.31293,1258199996.9482422
2014-09-01 01:01:00,1.31293,1.31299,1.31292,1.31298,622700004.5776367
2014-09-01 01:02:00,1.31298,1.313,1.31296,1.31299,895199966.4306641
2014-09-01 01:03:00,1.31298,1.313,1.31297,1.31298,2257400054.9316406
2014-09-01 01:04:00,1.31298,1.31298,1.31297,1.31297,3079299926.7578125
2014-09-01 01:05:00,1.31297,1.31298,1.31285,1.31294,663700027.4658203
2014-09-01 01:06:00,1.31295,1.31295,1.31289,1.31294,674800033.5693359
2014-09-01 01:07:00,1.31295,1.31295,1.31281,1.31281,957600021.3623047
