Datetime,Open,High,Low,Close,Volume
2016-12-01 00:00:00,0.99169,0.99219,0.99163,0.99206,2075200042.7246094
2016-12-01 00:01:00,0.99204,0.99209,0.99179,0.99195,1331999969.4824219
2016-12-01 00:02:00,0.99197,0.99249,0.99195,0.99235,1539700012.2070312
2016-12-01 00:03:00,0.99235,0.99244,0.99193,0.99201,1444600067.1386719
2016-12-01 00:04:00,0.99199,0.99237,0.99199,0.99218,1377899932.8613281
2016-12-01 00:05:00,0.99218,0.99239,0.99208,0.99214,1694799957.2753906
2016-12-01 00:06:00,0.99219,0.99219,0.99183,0.99187,769899978.6376953
2016-12-01 00:07:00,0.99188,0.99204,0.99185,0.99203,1113600006.1035156
2016-12-01 00:08:00,0.99199,0.99214,0.99189,0.99209,900899963.3789062
2016-12-01 00:09:00,0.99213,0.99218,0.99191,0.99209,1180699996.9482422
2016-12-01 00:10:00,0.99209,0.99218,0.99203,0.99214,1120800018.3105469
2016-12-01 00:11:00,0.99213,0.99229,0.99204,0.99219,789899978.6376953
2016-12-01 00:12:00,0.99224,0.99234,0.99209,0.99228,785800018.3105469
2016-12-01 00:13:00,0.99229,0.99238,0.99188,0.99199,1387899932.8613281
2016-12-01 00:14:00,0.99199,0.99244,0.99199,0.99239,1232900009.1552734
2016-12-01 00:15:00,0.99233,0.99262,0.99233,0.99249,2001399993.8964844
2016-12-01 00:16:00,0.99248,0.99264,0.9924,0.99256,971299972.5341797
2016-12-01 00:17:00,0.99255,0.99278,0.99242,0.9927,1179000015.258789
2016-12-01 00:18:00,0.9927,0.99284,0.99251,0.99251,1402200012.2070312
2016-12-01 00:19:00,0.99251,0.99283,0.99249,0.99276,1555700073.2421875
2016-12-01 00:20:00,0.9928,0.9928,0.99268,0.99279,1212300033.569336
2016-12-01 00:21:00,0.99279,0.99283,0.99268,0.99283,933099975.5859375
2016-12-01 00:22:00,0.99283,0.99295,0.9926,0.99273,1917100067.1386719
2016-12-01 00:23:00,0.99275,0.99275,0.99258,0.99271,1258300018.3105469
2016-12-01 00:24:00,0.99271,0.99298,0.9927,0.99296,1205500030.5175781
2016-12-01 00:25:00,0.99295,0.99311,0.99294,0.99311,1048000030.5175781
2016-12-01 00:26:00,0.99311,0.99312,0.99284,0.99289,607000007.6293945
2016-12-01 00:27:00,0.99285,0.99299,0.99284,0.99294,470400009.15527344
2016-12-01 00:28:00,0.99294,0.99308,0.99294,0.99305,297299995.4223633
2016-12-01 00:29:00,0.99301,0.99314,0.99249,0.99283,819499969.4824219
2016-12-01 00:30:00,0.99281,0.99281,0.99162,0.9919,2228300018.310547
2016-12-01 00:31:00,0.99191,0.99224,0.99191,0.99209,1445899963.3789062
2016-12-01 00:32:00,0.99202,0.99222,0.99188,0.99195,1657100067.1386719
2016-12-01 00:33:00,0.99195,0.99202,0.99182,0.99186,1732899932.8613281
2016-12-01 00:34:00,0.99186,0.99194,0.99161,0.99179,895999984.7412109
