Datetime,Open,High,Low,Close,Volume
2014-07-01 01:03:00,1.00579,1.00589,1.00574,1.00579,249500007.62939453
2014-07-01 01:04:00,1.00579,1.00579,1.00548,1.00549,352900009.15527344
2014-07-01 01:05:00,1.00548,1.00559,1.00543,1.00554,316599998.4741211
2014-07-01 01:06:00,1.00554,1.00554,1.00543,1.00554,288600006.1035156
2014-07-01 01:07:00,1.00544,1.00558,1.00544,1.00554,481899986.26708984
2014-07-01 01:08:00,1.00554,1.00562,1.00554,1.00558,177600002.28881836
2014-07-01 01:09:00,1.00558,1.00564,1.00539,1.00541,1023700027.4658203
2014-07-01 01:10:00,1.00538,1.00538,1.00528,1.00529,318299999.23706055
2014-07-01 01:11:00,1.00529,1.00535,1.00527,1.00529,494599990.84472656
2014-07-01 01:12:00,1.00529,1.00534,1.00528,1.00534,322999992.37060547
2014-07-01 01:13:00,1.00529,1.00549,1.00525,1.00538,627999992.3706055
2014-07-01 01:14:00,1.00539,1.00554,1.00534,1.00539,522400016.78466797
2014-07-01 01:15:00,1.00539,1.00553,1.00539,1.00539,418699989.31884766
2014-07-01 01:16:00,1.00534,1.00534,1.00528,1.00534,233400001.5258789
2014-07-01 01:17:00,1.00533,1.00533,1.00533,1.00533,22799999.713897705
2014-07-01 01:18:00,1.00534,1.00549,1.00534,1.00548,217600002.28881836
2014-07-01 01:19:00,1.00548,1.00558,1.00538,1.00547,484799995.4223633
2014-07-01 01:20:00,1.00547,1.00579,1.00547,1.00574,490999984.74121094
2014-07-01 01:21:00,1.00574,1.00574,1.00568,1.00574,170000000.0
2014-07-01 01:22:00,1.00569,1.00579,1.00568,1.00573,250799999.23706055
2014-07-01 01:23:00,1.00574,1.00578,1.00568,1.00569,320000000.0
2014-07-01 01:24:00,1.00569,1.00569,1.00564,1.00564,96899995.80383301
2014-07-01 01:25:00,1.00569,1.00574,1.00568,1.00569,80000000.0
2014-07-01 01:26:00,1.00568,1.00589,1.00564,1.00588,246599998.4741211
2014-07-01 01:27:00,1.00589,1.00599,1.00563,1.00569,690299987.7929688
2014-07-01 01:28:00,1.00574,1.00574,1.00548,1.00548,505999984.74121094
2014-07-01 01:29:00,1.00548,1.00564,1.00548,1.00564,338100013.73291016
